character,universe,page_length
doomsday,dcau,361424
doomsday,lego_batman,368168
doomsday,new_earth,429868
doomsday,smallville,391359
doomstroke,mash_up,366555
drax,new_earth,384050
echielias,new_earth,355088
eddie_bloodlines,prime_earth,359783
eduardo_dorrance,gotham,371859
edward_bloomberg,new_earth,384318
edward_bloomberg,titans_tomorrow,379346
edward_clariss,arrowverse,369818
edward_clariss,new_earth,370671
edward_clariss,prime_earth,364331
edward_dawson,new_earth,366676
edward_walker,new_earth,368838
elizabeth_rowan,wildstorm_universe,362245
emp_of_khera,wildstorm_universe,379233
entropous,wildstorm_universe,370204
eobard_thawne,arrowverse,487462
eobard_thawne,dc_legends,438062
eobard_thawne,dc_universe_online,362773
eobard_thawne,dcau,442084
eobard_thawne,earth_5_8,370271
eobard_thawne,flashpoint_paradox,454704
eobard_thawne,harley_quinn_tv_series,362493
eobard_thawne,lego_batman,444931
eobard_thawne,lego_dc_heroes,379034
eobard_thawne,new_earth,552016
eobard_thawne,the_brave_and_the_bold,362340
ephraim_newhouse,prime_earth,365650
ethan_avery,prime_earth,383685
etrigan,dc_universe_online,357027
etrigan,injustice,367080
etrigan,lego_batman,365568
etrigan,new_earth,484336
etrigan,prime_earth,405667
fahai,prime_earth,362473
famine,future_state,370690
fastest_killer_alive,last_52_multiverse,371476
felix_harmon,prime_earth,357240
first_born,prime_earth,390283
flamebird,new_earth,350894
flash,barry_allen,660719
flash,batman_unlimited,363640
flash,earth_44,363660
flash,earth_1,364419
flash,earth_1_98,367300
flash,earth_11,364825
flash,teen_titans_tv_series,363595
flash,wally_west,501452
flash_kid,tiny_titans,363703
francis_chandler,arrowverse,370232
frederick_freeman,dcau,380108
frederick_freeman,earth_22,375587
frederick_freeman,earth_5,364648
frederick_freeman,earth_s,384523
frederick_freeman,justice,373854
frederick_freeman,magic_of_shazam,370084
frederick_freeman,new_earth,411561
frost,arrowverse,359141
garth,prime_earth,431424
genocide,new_earth,371105
giuana,new_earth,361071
godspeed_iv,arrowverse,370245
godspeed_v,arrowverse,367165
golden_fleece,golden_fleec,351291
grace_choi,new_earth,398425
grant_wilson,new_earth,374681
grant_wilson,prime_earth,368885
harmony_of_khera,wildstorm_universe,363916
helena_kyle,birds_of_prey,377900
helspont,prime_earth,370674
helspont,wildc_a_t_s_tv_series,358278
helspont,wildstorm_universe,390805
henry_ballard,prime_earth,360704
henry_hall,prime_earth,378241
henry_heywood_sr,new_earth,380815
herakles,new_earth,387112
heraphon,new_earth,355315
hightower,wildstorm_universe,371712
hippolyta,tempest_tossed,383033
hippolyta,warbringer,378993
horace_lafeaugh,pre_zero_hour,360333
human_bomb_ii,earth_1,358091
hunter_zolomon,new_earth,429286
idamm,prime_earth,352337
immorto,pre_zero_hour,352548
impulse,dc_one_million,371139
iris_west,arrowverse,380070
iris_west,dcau,363327
iris_west_ii,earth_22,370198
iris_west_ii,new_earth,374604
iris_west_ii,prime_earth,376156
ishmael_gregor,new_earth,387961
ivana_molotova,prime_earth,362791
jack_ryder,dcau,364900
jack_ryder,earth_22,357380
jack_ryder,lego_batman,365463
jack_ryder,new_earth,401093
jackie,powerless,361351
jai_west,prime_earth,374655
james_harper_clone,new_earth,380285
jared_morillo,new_earth,362303
jason_garrick,dcau,372095
jason_garrick,earth_2,396369
jason_garrick,earth_2,369119
jason_garrick,earth_5_8,361040
jason_garrick,future_state,366296
jason_garrick,lightning_in_a_bottle,364299
jason_garrick,new_earth,419937
jason_garrick,smallville,378953
jason_garrick,the_brave_and_the_bold,372545
jason_keralis,warbringer,378751
jay_west,earth_3839,362342
jean_paul_ludovic_valley,new_earth,367382
jean_paul_valley,lego_batman,361683
jean_paul_valley,new_earth,454235
jeannette,new_earth,363585
jebediah_of_canaan,new_earth,394208
jefferson_pierce,new_earth,418499
jenni_ognats,post_zero_hour,376160
jenni_ognats,prime_earth,371754
jennifer_sparks,wildstorm_universe,385282
jeremy_stone,wildstorm_universe,379391
jess_chambers,earth_11,369998
jesse_chambers,created_equal,362926
jesse_chambers,dc_legends,359855
jesse_chambers,dceased,366801
jesse_chambers,earth_5_8,362223
jesse_chambers,new_earth,392195
jesse_chambers,prime_earth,378265
jesse_chambers,tiny_titans,362092
jesse_quick,earth_11,366269
jessie_quick,ame_comi,369350
jodi_morinaka_slayton,wildstorm_universe,374264
john_cooper_hawksmoor,wildstorm_universe,407642
john_lynch,wildstorm_universe,377388
jonathan_allen,earth_3,379306
jonathan_chambers,dc_legends,360975
jonathan_chambers,prime_earth,369505
jonathan_fox,new_earth,380303
jonathan_samuel_kent,prime_earth,431938
jordan_kent,arrowverse,385826
joseph_chamberlain,prime_earth,374727
joseph_wilson,new_earth,387020
kaizen_gamorra_yohn_kohl,wildstorm_universe,364704
kal_kent,dc_one_million,395600
kal_el,earth_one,1215737
kal_el,earth_prime,518432
katar_hol,the_batman_tv_series,370685
keith_kenyon,arrowverse,357357
kendra_saunders,new_earth,411323
kendra_saunders,prime_earth,407383
kenesha_of_khera,wildstorm_universe,374044
khalil_payne,black_lightning_tv_series,376569
kid_flash,teen_titans_go_tv_series,370231
kid_flash,teen_titans_tv_series,366417
killspeed,prime_earth,366913
kirk_depaul,new_earth,353916
knockout,new_earth,397816
knockout,prime_earth,365620
kon_el,futures_end,361877
kon_el,prime_earth,527852
kryptonians,kryptonian,424667
lady_charis,wildstorm_universe,387613
lana_lang,smallville,411793
